,task,entry,dev_performance,test_performance
0,anli,anli_16_100,0.4454715043283238,0.1220624550129861
1,anli,anli_16_13,0.398225292962135,0.1852562645138202
2,anli,anli_16_21,0.3352189398701026,0.0565175686482918
3,anli,anli_16_42,0.284877169258508,0.0767851111938724
4,anli,anli_16_87,0.3873760462907749,0.1079059207842112
5,anli,mean,0.37023379054196887,0.10970546403063634
6,anli,std,0.055226600982125194,0.044218907453223544
7,,,,
8,glue-mnli,glue-mnli_16_100,0.5416666666666666,0.243
9,glue-mnli,glue-mnli_16_13,0.5208333333333334,0.335
10,glue-mnli,glue-mnli_16_21,0.5,0.301
11,glue-mnli,glue-mnli_16_42,0.4583333333333333,0.335
12,glue-mnli,glue-mnli_16_87,0.5,0.354
13,glue-mnli,mean,0.5041666666666667,0.3136
14,glue-mnli,std,0.027638539919628332,0.039220402853616894
15,,,,
16,glue-qnli,glue-qnli_16_100,0.71875,0.514
17,glue-qnli,glue-qnli_16_13,0.78125,0.573
18,glue-qnli,glue-qnli_16_21,0.75,0.572
19,glue-qnli,glue-qnli_16_42,0.625,0.491
20,glue-qnli,glue-qnli_16_87,0.5625,0.531
21,glue-qnli,mean,0.6875,0.5362
22,glue-qnli,std,0.08149003006503311,0.03224530973645623
23,,,,
24,glue-rte,glue-rte_16_100,0.53125,0.5379061371841155
25,glue-rte,glue-rte_16_13,0.71875,0.5054151624548736
26,glue-rte,glue-rte_16_21,0.5625,0.4620938628158845
27,glue-rte,glue-rte_16_42,0.5625,0.5595667870036101
28,glue-rte,glue-rte_16_87,0.6875,0.4873646209386281
29,glue-rte,mean,0.6125,0.5104693140794223
30,glue-rte,std,0.07551903733496608,0.03482210989685918
31,,,,
32,glue-wnli,glue-wnli_16_100,0.71875,0.352112676056338
33,glue-wnli,glue-wnli_16_13,0.65625,0.3943661971830985
34,glue-wnli,glue-wnli_16_21,0.59375,0.6197183098591549
35,glue-wnli,glue-wnli_16_42,0.6875,0.4507042253521127
36,glue-wnli,glue-wnli_16_87,0.59375,0.4507042253521127
37,glue-wnli,mean,0.65,0.4535211267605634
38,glue-wnli,std,0.049999999999999996,0.09101686997973808
39,,,,
40,scitail,scitail_16_100,0.5333333333333333,0.1147384982038529
41,scitail,scitail_16_13,0.6476476476476476,0.2218773862768626
42,scitail,scitail_16_21,0.7184750733137829,0.5796657875973384
43,scitail,scitail_16_42,0.6113360323886641,0.3743280370704738
44,scitail,scitail_16_87,0.746031746031746,0.1987149293004636
45,scitail,mean,0.6513647665430348,0.2978649276897983
46,scitail,std,0.07617501695017855,0.16395026657352454
47,,,,
48,sick,sick_16_100,0.6557539682539684,0.1308404789160313
49,sick,sick_16_13,0.5843669756713235,0.1562362371331799
50,sick,sick_16_21,0.6333333333333333,0.2680011620306485
51,sick,sick_16_42,0.4665661136249371,0.1330481660390218
52,sick,sick_16_87,0.5118092691622104,0.3771734506903998
53,sick,mean,0.5703659320091545,0.21305989896185626
54,sick,std,0.071631452096496,0.09627319380820203
55,,,,
56,superglue-cb,superglue-cb_16_100,0.59375,0.5
57,superglue-cb,superglue-cb_16_13,0.65625,0.5714285714285714
58,superglue-cb,superglue-cb_16_21,0.84375,0.5892857142857143
59,superglue-cb,superglue-cb_16_42,0.5625,0.625
60,superglue-cb,superglue-cb_16_87,0.65625,0.5
61,superglue-cb,mean,0.6625,0.5571428571428572
62,superglue-cb,std,0.09762812094883318,0.049744243847086145
63,,,,
64,superglue-rte,superglue-rte_16_100,0.59375,0.516245487364621
65,superglue-rte,superglue-rte_16_13,0.71875,0.4945848375451263
66,superglue-rte,superglue-rte_16_21,0.625,0.483754512635379
67,superglue-rte,superglue-rte_16_42,0.625,0.516245487364621
68,superglue-rte,superglue-rte_16_87,0.78125,0.4945848375451263
69,superglue-rte,mean,0.66875,0.5010830324909747
70,superglue-rte,std,0.0701560760020114,0.012996389891696786
71,,,,
